-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 09/07/2023 through 11/02/2023 
Location: Latitude  38.0   Longitude -119.0 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 2246.85 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN      CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
CLRSKY_SFC_SW_DWN      CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
TOA_SW_DWN             CERES SYN1deg Top-Of-Atmosphere Shortwave Downward Irradiance (MJ/m^2/day) 
ALLSKY_SFC_PAR_TOT     CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
CLRSKY_SFC_PAR_TOT     CERES SYN1deg Clear Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_UVA         CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB         CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
T2M                    MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                 MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                 MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                     MERRA-2 Earth Skin Temperature (C) 
RH2M                   MERRA-2 Relative Humidity at 2 Meters (%) 
QV2M                   MERRA-2 Specific Humidity at 2 Meters (g/kg) 
PRECTOTCORR            MERRA-2 Precipitation Corrected (mm/day) 
PS                     MERRA-2 Surface Pressure (kPa) 
WS2M                   MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
YEAR,DOY,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,TOA_SW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,T2M,T2MDEW,T2MWET,TS,RH2M,QV2M,PRECTOTCORR,PS,WS2M
2023,281,18.69,19.11,25.46,93.95,96.39,12.03,0.27,15.09,-1.78,6.65,14.9,36.12,4.33,0.0,77.99,1.47
2023,282,10.65,18.99,25.22,54.76,94.94,7.56,0.18,12.05,-2.45,4.8,11.72,39.31,4.09,0.0,77.52,3.36
2023,283,18.92,19.41,24.99,94.92,97.66,12.29,0.29,9.73,-2.26,3.74,10.62,49.25,4.21,0.0,77.04,3.59
2023,284,18.06,19.51,24.75,89.84,97.27,11.72,0.28,4.76,-4.78,-0.01,6.1,57.75,3.54,0.0,76.97,2.96
2023,285,19.32,19.37,24.52,96.14,96.8,12.38,0.28,4.64,-6.08,-0.72,5.46,51.38,3.11,0.0,77.41,1.45
2023,286,16.57,18.76,24.29,83.52,94.42,11.09,0.27,7.73,-7.12,0.3,7.85,37.62,2.87,0.0,77.57,1.86
2023,287,17.8,17.96,24.05,90.09,91.38,11.5,0.27,10.84,-4.43,3.21,10.62,36.12,3.54,0.0,78.02,1.55
2023,288,17.76,17.7,23.82,90.89,91.14,11.56,0.28,13.98,-3.42,5.27,13.02,34.0,3.78,0.0,78.31,1.26
2023,289,17.57,17.75,23.59,88.7,90.05,11.34,0.28,13.9,-4.67,4.62,13.39,30.25,3.42,0.0,78.2,2.19
2023,290,18.08,17.98,23.36,89.93,89.95,11.4,0.27,13.47,-6.92,3.27,11.51,24.81,2.87,0.0,78.1,1.05
2023,291,17.75,17.64,23.13,89.28,89.3,11.32,0.27,14.39,-4.5,4.94,11.69,27.75,3.48,0.0,78.31,1.33
2023,292,17.23,17.18,22.9,87.39,87.73,11.05,0.26,15.5,-2.7,6.4,13.15,30.56,4.03,0.0,78.31,1.34
2023,293,15.87,16.63,22.68,79.17,83.35,10.03,0.23,13.55,-0.54,6.5,13.08,40.31,4.76,0.0,78.04,1.9
2023,294,16.14,16.57,22.45,81.03,83.8,10.27,0.23,13.15,0.63,6.89,13.15,47.62,5.19,0.0,77.63,1.76
2023,295,16.35,16.83,22.23,81.42,84.42,10.36,0.23,8.76,0.68,4.72,9.84,63.56,5.25,0.0,77.13,3.24
2023,296,14.79,16.13,22.01,74.47,81.76,9.56,0.21,6.62,1.54,4.08,7.29,72.88,5.49,0.01,77.31,1.97
2023,297,16.42,16.45,21.79,81.41,82.12,10.28,0.23,8.15,-3.06,2.55,8.48,54.75,4.09,0.0,77.4,1.18
2023,298,9.09,16.03,21.57,46.38,81.43,6.51,0.16,7.01,-4.67,1.18,7.21,45.5,3.48,0.61,77.36,4.54
2023,299,16.09,16.89,21.35,78.57,83.12,10.05,0.21,3.32,-7.51,-2.1,4.02,53.44,2.87,0.24,77.55,1.28
2023,300,16.67,16.56,21.14,80.95,81.13,10.14,0.18,4.9,-14.67,-4.88,2.98,24.44,1.46,0.0,77.58,1.55
2023,301,16.63,16.66,20.93,80.41,81.23,10.09,0.19,-0.31,-13.96,-7.14,-0.45,34.31,1.53,0.0,77.76,2.38
2023,302,16.6,16.6,20.71,80.14,80.76,10.07,0.2,-0.43,-15.31,-7.88,-0.57,31.06,1.34,0.0,78.24,1.23
2023,303,16.25,16.15,20.5,79.45,79.65,9.95,0.2,4.4,-15.29,-5.45,1.81,22.0,1.34,0.0,78.29,1.45
2023,304,15.13,15.89,20.29,74.38,78.76,9.48,0.2,7.58,-13.28,-2.85,3.89,21.0,1.65,0.0,78.22,1.22
2023,305,13.08,15.5,20.09,64.43,76.78,8.44,0.19,8.72,-11.72,-1.5,5.37,22.88,1.89,0.0,78.12,1.35
2023,306,14.24,15.12,19.89,70.94,76.02,9.05,0.19,9.77,-8.06,0.86,7.12,28.81,2.69,0.0,78.19,1.44
